date,nifty_close,vix,nifty_realvol20d,fpi_net_equity_cr,usdinr,tri,engine_hedge_target,engine_stage
2016-11-18,8074.1001,17.81,15.0425,-18244,67.9748,10889.64,56,Stage 1 — Onset
2016-11-21,7929.1001,19.1,15.7228,-18244,68.17,10694.09,62.9,Stage 1 — Onset
2016-11-22,8002.2998,18.47,16.4616,-18244,68.2155,10792.82,63.5,Stage 1 — Onset
2016-11-23,8033.2998,18.04,16.5989,-18244,68.3855,10834.59,63,Stage 1 — Onset
2016-11-24,7965.5,17.16,16.6347,-18244,68.7985,10743.28,64.2,Stage 1 — Onset
2016-11-25,8114.2998,17.61,18.3319,-18244,68.7455,10943.99,61.1,Stage 1 — Onset
2016-11-28,8126.8999,18.06,18.3753,-18244,68.5085,10960.97,61.1,Stage 1 — Onset
2016-11-29,8142.1499,17.71,18.4505,-18244,68.5555,10981.54,60.9,Stage 1 — Onset
2016-11-30,8224.5,16.85,18.5817,-18244,68.608,11092.59,58.8,Stage 1 — Onset
2016-12-01,8192.9004,16.69,18.5876,-8177,68.588,11050,59.4,Stage 1 — Onset
2016-12-02,8086.7998,17.93,18.9633,-8177,68.2165,10906.86,63.7,Stage 1 — Onset
2016-12-05,8128.75,17.29,18.8262,-8177,68.0115,10963.49,62.3,Stage 1 — Onset
2016-12-06,8143.1499,17.11,18.6717,-8177,68.0125,10982.89,61.3,Stage 1 — Onset
2016-12-07,8102.0498,16.85,18.271,-8177,67.722,10927.43,60.8,Stage 1 — Onset
2016-12-08,8246.8496,15.53,19.0385,-8177,67.4315,11122.75,59.1,Stage 1 — Onset
2016-12-09,8261.75,15.07,16.4743,-8177,67.406,11142.82,54,Stage 1 — Onset
2016-12-12,8170.7998,16.19,16.9183,-8177,67.4605,11020.15,58.8,Stage 1 — Onset
2016-12-13,8221.7998,15.92,14.9016,-8177,67.418,11088.99,49.2,Stage 1 — Onset
2016-12-14,8182.4502,16.59,15.0288,-8177,67.3865,11035.88,51,Stage 1 — Onset
2016-12-15,8153.6001,15.66,15.015,-8177,67.82,10997.01,51.5,Stage 1 — Onset
2016-12-16,8139.4502,15.25,15.0298,-8177,67.845,10977.91,51.7,Stage 1 — Onset
2016-12-19,8104.3501,14.84,13.4936,-8177,67.835,10930.55,46.9,Stage 1 — Onset
2016-12-20,8082.3999,14.54,13.2047,-8177,67.8402,10900.96,46.3,Stage 1 — Onset
2016-12-21,8061.2998,14.71,13.1858,-8177,67.897,10872.49,46.6,Stage 1 — Onset
2016-12-22,7979.1001,15.55,13.3541,-8177,67.8255,10761.65,49.4,Stage 1 — Onset
2016-12-23,7985.75,15.13,11.4594,-8177,67.838,10770.6,43.9,Stage 1 — Onset
2016-12-26,7908.25,16.6,11.8478,-8177,67.8308,10666.06,46.6,Stage 1 — Onset
2016-12-27,8032.8501,15.08,13.268,-8177,67.772,10834.12,48,Stage 1 — Onset
2016-12-28,8034.8501,15.54,12.6577,-8177,67.968,10836.85,46.1,Stage 1 — Onset
2016-12-29,8103.6001,15.28,13.065,-8177,68.205,10929.53,45.8,Stage 1 — Onset
2016-12-30,8185.7998,15.47,12.7076,-8177,67.933,11040.41,43.6,Stage 1 — Onset
2017-01-02,8179.5,15.83,12.599,-8177,67.9448,11031.91,43.6,Stage 1 — Onset
2017-01-03,8192.25,15.96,12.596,-8177,68.1339,11049.08,43.5,Stage 1 — Onset
2017-01-04,8190.5,15.89,12.4389,-8177,68.2698,11046.76,43.2,Stage 1 — Onset
2017-01-05,8273.7998,15.05,11.2872,-8177,67.8855,11159.12,40.8,Stage 1 — Onset
2017-01-06,8243.7998,14.91,11.3471,-8177,67.733,11118.62,41.1,Stage 1 — Onset
2017-01-09,8236.0498,15.48,10.5941,-8177,68.1426,11108.2,40.4,Stage 1 — Onset
2017-01-10,8288.5996,15.2,10.6042,-8177,68.097,11179.04,40.1,Stage 1 — Onset
2017-01-11,8380.6504,14.81,11.0549,-8177,68.318,11303.19,39.9,Stage 1 — Onset
2017-01-12,8407.2002,14.61,10.9298,-8177,68.14,11339.04,39.5,Stage 1 — Onset
2017-01-13,8400.3496,14.38,10.8981,-8177,68.1295,11329.78,39.5,Stage 1 — Onset
2017-01-16,8412.7998,15.07,10.6738,-8177,68.1578,11346.57,39.3,Stage 1 — Onset
2017-01-17,8398,15.39,10.6249,-8177,68.0946,11326.62,39.4,Stage 1 — Onset
2017-01-18,8417,15.18,10.4893,-8177,67.8995,11352.22,39.1,Stage 1 — Onset
2017-01-19,8435.0996,15.02,9.4121,-8177,68.198,11376.62,37.7,Stage 1 — Onset
2017-01-20,8349.3496,15.79,10.4727,-8177,68.0903,11260.99,39.6,Stage 1 — Onset
2017-01-23,8391.5,15.91,9.4997,-8177,68.0772,11319.09,38.4,Stage 1 — Onset
2017-01-24,8475.7998,15.29,8.678,-8177,68.0514,11432.83,36.1,Stage 1 — Onset
2017-01-25,8602.75,15.17,9.6327,-8177,68.1645,11604.09,36.1,Stage 1 — Onset
2017-01-26,8602.75,15.17,9.5078,-8177,67.973,11604.09,35.8,Stage 1 — Onset
2017-01-27,8641.25,16.01,9.1534,-8177,68.149,11656,34.5,Stage 1 — Onset
2017-01-30,8632.75,16.67,9.1645,-8177,68.11,11644.53,35,Stage 1 — Onset
2017-01-31,8561.2998,16.83,9.9619,-8177,67.821,11548.15,37.6,Stage 1 — Onset
2017-02-01,8716.4004,13.97,11.3658,9902,67.5016,11758.63,10.5,Stage 1 — Onset
2017-02-02,8734.25,13.52,11.0629,9902,67.3954,11784.61,10.4,Stage 1 — Onset
2017-02-03,8740.9502,13.13,10.8364,9902,67.2656,11793.62,10.3,Stage 1 — Onset
2017-02-06,8801.0498,13.4,10.8205,9902,67.1573,11874.73,10.2,Stage 1 — Onset
2017-02-07,8768.2998,13.51,11.0347,9902,67.1953,11832.78,10.3,Stage 1 — Onset
2017-02-08,8769.0498,13.35,10.6286,9902,67.3405,11833.8,10.2,Stage 1 — Onset
2017-02-09,8778.4004,13.24,10.6312,9902,66.9643,11846.42,10.2,Stage 1 — Onset
2017-02-10,8793.5498,13.18,10.575,9902,66.7453,11866.82,10.2,Stage 1 — Onset
2017-02-13,8805.0498,13.69,10.5769,9902,66.8437,11882.38,10.2,Stage 1 — Onset
2017-02-14,8792.2998,13.8,10.5617,9902,66.9154,11865.43,10.2,Stage 1 — Onset
2017-02-15,8724.7002,14.21,11.1438,9902,66.7759,11776.57,10.4,Stage 1 — Onset
2017-02-16,8778,13.73,11.2478,9902,66.8655,11849.55,10.3,Stage 1 — Onset
2017-02-17,8821.7002,13.43,10.3142,9902,67.1648,11908.56,10.2,Stage 1 — Onset
2017-02-20,8879.2002,13.61,10.37,9902,67.0652,11986.21,10.1,Stage 1 — Onset
